gene,id
IGLV5-48,392
IGLV6-57,393
IGLV7-43,394
IGLV7-46,395
IGLV8-61,396
IGLVI-70,397
IL17A,398
IL1B,399
IL1R1,400
IL1RAP,401
IL1RN,402
IL22,403
IL2RA,404
IL32,405
IL6,406
IL7R,407
IRF2,408
IRF8,409
ISG15,410
ISL1,411
JAZF1,412
JSRP1,413
JUN,414
JUNB,415
JUND,416
KIAA0125,417
KIF3C,418
KIT,419
KLF10,420
KLF2,421
KLF3,422
KLF4,423
KLF5,424
KLF6,425
KLRB1,426
KLRC1,427
KLRC2,428
KLRD1,429
KLRF1,430
KMT2B,431
KPNA2,432
KRT86,433
L3MBTL4,434
LAG3,435
LAPTM5,436
LCP1,437
LEF1,438
LGALS1,439
LGALSL,440
LHX2,441
LILRA5,442
LIMD2,443
LINC01272,444
LMO2,445
LPP,446
LRMP,447
LST1,448
LTB,449
LYL1,450
LYZ,451
MAF,452
MAFB,453
MAFG,454
MAFK,455
MARCKSL1,456
MAX,457
MAZ,458
MECOM,459
MECP2,460
MED1,461
MED12,462
MEF2A,463
MEF2C,464
MEIS2,465
METAP2,466
METTL6,467
MIR155HG,468
MKI67,469
MMP12,470
MNDA,471
MNT,472
MS4A1,473
MS4A2,474
MS4A6A,475
MSX1,476
MT-RNR1,477
MT-RNR2,478
MT1X,479
MT2A,480
MYB,481
MYBL1,482
MYBL2,483
MYC,484
MZB1,485
MZF1,486
NAMPT,487
NDUFAF6,488
NEIL1,489
NEK2,490
NFAT5,491
NFKB2,492
NFKBIA,493
NFYA,494
NFYB,495
NFYC,496
NIPBL,497
NKG7,498
NKX2-5,499
NPAT,500
NPW,501
NR2F1,502
NR4A2,503
NUF2,504
NUSAP1,505
OLR1,506
PBX1,507
PBX2,508
PCLAF,509
PCNA,510
PCSK1N,511
PDIA2,512
PFN1,513
PHACTR1,514
PHF20,515
PI3,516
PIF1,517
PIGR,518
PIM2,519
PITX1,520
PKM,521
PLA2G2D,522
PLAC8,523
PLAU,524
PLK1,525
POLR2A,526
PPP1R14A,527
PPP1R2P9,528
PRF1,529
PTGS2,530
PTP4A3,531
PTTG1,532
RAD21,533
RASD1,534
RASSF6,535
RBCK1,536
REG1A,537
RELA,538
REST,539
RFX2,540
RFX5,541
RGCC,542
RGS1,543
RGS13,544
RGS16,545
RGS2,546
RN7SL17P,547
RNASE1,548
RNU1-59P,549
RORA,550
RP1-191J18.66,551
RP1-313I6.12,552
RP1-34B20.21,553
RP11-1143G9.4,554
RP11-154H23.3,555
RP11-156K23.3,556
RP11-164H13.1,557
RP11-214O1.3,558
RP11-301G19.1,559
RP11-331G2.7,560
RP11-386I14.4,561
RP11-480C22.1,562
RP11-546K22.3,563
RP11-596C23.2,564
RP11-701P16.5,565
RP11-727F15.9,566
RP11-757G14.4,567
RP5-1011O1.3,568
RP5-887A10.1,569
RRM2,570
RXRA,571
S100A12,572
S100A4,573
S100A8,574
S100A9,575
SAT1,576
SCN2A,577
SDPR,578
SELL,579
SERPINA9,580
SERPINE1,581
SGO2,582
SH2D6,583
SIN3A,584
SIRPG,585
SLBP,586
SLC4A10,587
SMAD2,588
SMAD3,589
SMC1A,590
SMC3,591
SMC4,592
SMIM14,593
SOCS3,594
SOD2,595
SOX2,596
SOX3,597
SOX4,598
SOX9,599
SP1,600
SP2,601
SP3,602
SPIB,603
SPINK2,604
SPOCK2,605
SPP1,606
SPRY1,607
SREBF1,608
SRF,609
STAG3,610
STAT2,611
STAT5A,612
STAT6,613
STMN1,614
SUCNR1,615
SUGCT,616
TAF3,617
TAL1,618
TBX3,619
TCF12,620
TCF7L2,621
TCL1A,622
TCL1B,623
TEAD4,624
TERF1,625
TFAP2A,626
TFDP1,627
TFE3,628
THBD,629
THBS1,630
TIMP1,631
TK1,632
TMIGD2,633
TNFAIP3,634
TNFAIP6,635
TNFRSF4,636
TOP2A,637
TP73,638
TPM2,639
TPSAB1,640
TPSB2,641
TPX2,642
TRBC2,643
TRDC,644
TRPM4,645
TUBA1B,646
TUBB,647
TUBB2B,648
TUBB4B,649
TXNIP,650
TYMS,651
TYROBP,652
UBE2C,653
UBE2S,654
UBP1,655
UCP2,656
USF1,657
USF2,658
VCAM1,659
VCAN,660
VEZF1,661
VPREB3,662
VPS37B,663
VTRNA1-3,664
WARS,665
WDR66,666
XBP1,667
XCL1,668
XCL2,669
YBX3,670
YY1,671
ZBED4,672
ZBTB10,673
ZBTB16,674
ZBTB17,675
ZBTB2,676
ZBTB33,677
ZBTB7B,678
ZC3H8,679
ZFAT,680
ZFHX3,681
ZFP36L1,682
ZFP36L2,683
ZNF12,684
ZNF143,685
ZNF236,686
ZNF250,687
ZNF263,688
ZNF266,689
ZNF280D,690
ZNF281,691
ZNF331,692
ZNF395,693
ZNF706,694
ZNF83,695
ZNF84,696
ZNF891,697
