,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
run_1,29538,29202,28835,28443,28072,27729,27318,26922,26474,26023,25590,25137,24641,24109,23565,23004,22406,21771,21038,20299,19562,18717,17881,16896,15745,14482,13047,11320,9044,5180
run_2,31366,30911,30512,30066,29576,29033,28551,28001,27435,26846,26297,25696,25058,24343,23633,22958,22195,21360,20520,19565,18659,17773,16815,15800,14724,13572,12316,10931,8640,4402
run_3,28666,28257,27915,27532,27152,26738,26342,25865,25436,24980,24509,23981,23457,22925,22383,21752,21172,20429,19688,18791,17918,16982,16112,15083,14076,13003,11688,10232,8125,5109
run_4,30557,30193,29812,29261,28617,27864,26814,26185,25200,24177,23518,23221,22387,21442,20258,19299,18146,17459,16714,15671,15072,14826,14555,14175,13039,12006,10975,9019,5471,797
run_5,27159,26721,26294,25814,25331,24834,24297,23810,23255,22654,22045,21413,20770,20143,19504,18835,18245,17534,16922,16328,15789,15286,14741,14093,13350,12528,11415,9754,7336,3716
run_6,24138,23868,23551,23260,22942,22636,22304,21948,21578,21224,20840,20421,20021,19605,19152,18608,18057,17438,16840,16262,15595,14939,14215,13423,12595,11613,10564,9354,7734,4799
run_7,38314,37931,37616,37234,36833,36399,35789,35201,34649,33962,33193,32421,31634,30991,30415,29815,29005,27998,26951,25856,24696,23232,21427,19214,17310,15820,14513,13053,10091,4234
run_8,37882,37261,36744,36273,35971,35670,35326,34877,34336,33448,33014,32138,30923,30319,29617,28678,27847,26403,24944,24080,22833,20424,18483,17220,15629,14533,11902,8851,2079,0
run_9,25739,25401,25061,24716,24370,24047,23689,23265,22879,22447,21998,21605,21193,20757,20292,19763,19186,18563,17906,17227,16536,15710,14853,13924,13021,11999,10809,9400,7666,4990
run_10,32612,32306,31697,31137,30482,29828,29059,28449,27461,26868,26151,24882,23316,22544,21705,19992,18522,17410,16581,15265,14989,14652,13656,13018,12339,11087,8485,6540,1296,0
